name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id
,1146,4203400140,,,0,,,0,-92.6450887,41.2912771,,
,1147,4203400141,,,0,,,0,-92.6385773,41.2953495,,
,1148,4203400142,,,0,,,0,-92.6397414,41.2908579,,
,1149,4203400143,,,0,,,0,-92.64387090000001,41.2912831,,
,1150,4203400144,,,0,,,0,-92.6420939,41.290848100000005,,
,1151,4203400145,,,0,,,0,-92.6415015,41.2921759,,
,1152,4203400147,,,0,,,0,-92.638572,41.290864899999995,,
,1153,4203400148,,,0,,,0,-92.640935,41.295337700000005,,
,1154,4203400149,,,0,,,0,-92.6368253,41.2930929,,
,1155,4203400150,,,0,,,0,-92.6432738,41.2921699,,
,1156,4203400151,,,0,,,0,-92.6420816,41.293060600000004,,
,1157,4203400152,,,0,,,0,-92.64806159999999,41.292606,,
,1158,4203400153,,,0,,,0,-92.6432766,41.293060600000004,,
,1159,4203400154,,,0,,,0,-92.64093359999998,41.2957973,,
,1160,4203400155,,,0,,,0,-92.6504595,41.2917066,,
,1161,4203400156,,,0,,,0,-92.64687070000001,41.291718100000004,,
,1162,4203400157,,,0,,,0,-92.63961529999999,41.2953419,,
,1163,4203400158,,,0,,,0,-92.6492257,41.292603799999995,,
,1164,4203400159,,,0,,,0,-92.6409189,41.2935135,,
,1165,4203400160,,,0,,,0,-92.64268320000001,41.2948683,,
,1166,4203400161,,,0,,,0,-92.64208570000001,41.29440820000001,,
,1167,4203400162,,,0,,,0,-92.64092690000001,41.294405299999994,,
,1168,4203400163,,,0,,,0,-92.6368296,41.2949005,,
,1169,4203400164,,,0,,,0,-92.6420829,41.2917361,,
,1170,4203400165,,,0,,,0,-92.64980820000001,41.291250899999994,,
,1171,4203400166,,,0,,,0,-92.64922299999999,41.2917097,,
,1172,4203400168,,,0,,,0,-92.6474546,41.2912751,,
,1173,4203400170,,,0,,,0,-92.63739709999999,41.2917611,,
,1174,4203400171,,,0,,,0,-92.6504488,41.2908212,,
,1175,4203400172,,,0,,,0,-92.6451048,41.293012299999994,,
,1176,4203400173,,,0,,,0,-92.6486378,41.291267,,
,1177,4203400174,,,0,,,0,-92.6444978,41.293054600000005,,
,1178,4203400175,,,0,,,0,-92.64215240000001,41.2894385,,
,1179,4203400176,,,0,,,0,-92.6420964,41.295334600000004,,
,1180,4203400177,,,0,,,0,-92.6438727,41.2921699,,
,1181,4203400178,,,0,,,0,-92.63740250000001,41.2926396,,
,1182,4203400181,,,0,,,0,-92.6409135,41.292631899999996,,
,1183,4203400182,,,0,,,0,-92.6492233,41.2912602,,
,1184,4203400183,,,0,,,0,-92.64746269999999,41.2930425,,
,1185,4203400184,,,0,,,0,-92.64208029999999,41.293504799999994,,
,1186,4203400185,,,0,,,0,-92.64326590000002,41.2912912,,
,1187,4203400186,,,0,,,0,-92.6380064,41.2939592,,
,1188,4203400187,,,0,,,0,-92.638588,41.296260600000004,,
,1189,4203400188,,,0,,,0,-92.6385853,41.293529799999995,,
,1190,4203400689,,,0,,,0,-92.63681009999999,41.2913214,,
,1191,4203400690,,,0,,,0,-92.6385746,41.29264129999999,,
,1192,4203400691,,,0,,,0,-92.63956440000001,41.296256299999996,,
,1193,4203400692,,,0,,,0,-92.6373931,41.2913194,,
,1194,4203400693,,,0,,,0,-92.64151030000001,41.2930646,,
,1195,4203400694,,,0,,,0,-92.6409189,41.293068700000006,,
,1196,4203400695,,,0,,,0,-92.6409055,41.291739899999996,,
,1197,4203400696,,,0,,,0,-92.6420964,41.2962479,,
,1198,4203400698,,,0,,,0,-92.6415194,41.2939516,,
,1199,4203400700,,,0,,,0,-92.64509699999999,41.2921699,,
,1200,4203400701,,,0,,,0,-92.64088129999999,41.2899746,,
,1201,4203400702,,,0,,,0,-92.6362438,41.2930888,,
,1202,4203400703,,,0,,,0,-92.64386999999999,41.293054600000005,,
,1203,4203400704,,,0,,,0,-92.6462871,41.293014299999996,,
,1204,4203400705,,,0,,,0,-92.64628470000001,41.292161799999995,,
,1205,4203400706,,,0,,,0,-92.64449429999999,41.2921699,,
,1206,4203400707,,,0,,,0,-92.64209100000001,41.2948703,,
,1207,4203400708,,,0,,,0,-92.6457042,41.2912743,,
,1208,4203400710,,,0,,,0,-92.6374132,41.294425399999994,,
,1209,4203400711,,,0,,,0,-92.64864190000002,41.292151700000005,,
,1210,4203400712,,,0,,,0,-92.642083,41.2939507,,
