shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_177169,41.310943,-92.641598,110,5395.774146
p_177169,41.310972,-92.641598,111,5398.99488377
p_177169,41.311047,-92.641609,112,5407.37515484
p_177169,41.311218,-92.641633,113,5426.47244395
p_177169,41.311375,-92.641665,114,5444.11355263
p_177169,41.311516,-92.641714,115,5460.30164358
p_177169,41.311784,-92.641836,116,5491.77013479
p_177169,41.312028,-92.641992,117,5521.85298745
p_177169,41.312326,-92.642223,118,5560.18700776
p_177169,41.312707,-92.642602,119,5613.07976853
p_177169,41.313666,-92.64353,120,5744.92046066
p_177169,41.312616,-92.645436,121,5942.58391239
p_177169,41.312555,-92.645546,122,5954.01801315
p_177169,41.312486,-92.645731,123,5971.30103121
p_177169,41.31134,-92.645678,124,6098.65307895
p_177169,41.310844,-92.645657,125,6153.76686347
p_177169,41.310377,-92.645637,126,6205.65887771
p_177169,41.310329,-92.645635,127,6210.99238363
p_177169,41.310277,-92.645633,128,6216.76992691
p_177169,41.309738,-92.645615,129,6276.65018982
p_177169,41.308597,-92.645561,130,6403.45018132
p_177169,41.307753,-92.645517,131,6497.25710391
p_177169,41.307741,-92.646944,132,6616.76527265
p_177169,41.3077415840901,-92.6480038050377,133,6705.51616856
p_177169,41.3077426213329,-92.648001652646,134,6705.73008232
p_177169,41.307743,-92.648282,135,6729.20714711
p_177169,41.307741,-92.648899,136,6780.87683313
p_177169,41.307739,-92.649504,137,6831.54161849
p_177169,41.307741,-92.650662,138,6928.51585241
p_177169,41.307613,-92.65066,139,6942.73250106
p_177169,41.306203,-92.65064,140,7099.33583894
p_177169,41.305663,-92.650631,141,7159.31288088
p_177169,41.305121,-92.650633,142,7219.5075339
p_177169,41.30441,-92.65063,143,7298.47145378
p_177169,41.303494,-92.65063,144,7400.20221924
p_177169,41.303021,-92.65064,145,7452.74016782
p_177169,41.302225,-92.650635,146,7541.14473003
p_177169,41.301808,-92.650632,147,7587.45732737
p_177169,41.301126,-92.650634,148,7663.20025493
p_177169,41.301125,-92.650543,149,7670.82241462
p_177169,41.301118,-92.649847,150,7729.11837113
p_177169,41.300741,-92.649846,151,7770.98797277
p_177169,41.300721,-92.649846,152,7773.20916728
p_177169,41.300133,-92.64985,153,7838.51314157
p_177169,41.29935,-92.649854,154,7925.47353676
p_177169,41.298904,-92.649848,155,7975.00870942
p_177169,41.298476,-92.649841,156,8022.54587037
p_177169,41.2971874100809,-92.6498446209473,157,8165.65656178
p_177169,41.2971790623245,-92.6498483246562,158,8166.63418223
p_177169,41.297099,-92.649846,159,8175.52800792
p_177169,41.297095,-92.650533,160,8233.07027237
p_177169,41.297093,-92.651003,161,8272.43634234
p_177169,41.297091,-92.651571,162,8320.01041936
p_177169,41.29709,-92.652152,163,8368.67293714
p_177169,41.297085,-92.652754,164,8419.0972698
p_177169,41.29708,-92.653334,165,8467.67908419
p_177169,41.297087,-92.653923,166,8517.01765583
p_177169,41.297093,-92.654523,167,8567.27583404
p_177169,41.297094,-92.655546,168,8652.95856309
p_177169,41.297094,-92.655688,169,8664.85195235
p_177169,41.297093,-92.656256,170,8712.42563938
p_177169,41.297086,-92.656862,171,8763.18789125
p_177169,41.297093,-92.657436,172,8811.27027439
p_177169,41.297096,-92.658032,173,8861.19011826
p_177169,41.297094,-92.658633,174,8911.52812124
p_177169,41.297092,-92.659203,175,8959.26970824
p_177169,41.297572,-92.659201,176,9012.57860797
p_177169,41.297983,-92.659199,177,9058.22443892
p_177169,41.298378,-92.659197,178,9102.09333071
p_177169,41.298459,-92.659197,179,9111.08916483
p_177169,41.299349,-92.659215,180,9209.94378502
p_177169,41.299608,-92.659448,181,9244.70309965
p_177169,41.299761,-92.659586,182,9265.25347334
p_177169,41.300081,-92.659892,183,9309.06943374
p_177169,41.30025,-92.660071,184,9333.09085963
p_177169,41.300288,-92.660116,185,9338.7490303
p_177169,41.300351,-92.660189,186,9348.04066777
p_177169,41.300487,-92.66042,187,9372.58511397
p_177169,41.300611,-92.66065,188,9396.26446872
p_177169,41.300676,-92.660777,189,9409.11930138
p_177169,41.300948,-92.661312,190,9463.15827202
p_177169,41.301265,-92.661917,191,9524.85794246
p_177169,41.301552,-92.662467,192,9580.87358902
p_177169,41.302354,-92.664024,193,9738.7890828
p_177169,41.302875,-92.665034,194,9841.27291184
p_177169,41.303322,-92.665889,195,9928.40373277
p_177169,41.303563,-92.66635,196,9975.38198698
p_177169,41.303644,-92.666502,197,9990.96948469
p_177169,41.303673,-92.666571,198,9997.58502502
p_177169,41.303697,-92.666653,199,10004.95147974
p_177169,41.303713,-92.666731,200,10011.72118384
p_177169,41.303727,-92.666801,201,10017.78621531
p_177169,41.303735,-92.666833,202,10020.60958411
p_177169,41.303747,-92.666876,203,10024.44943347
p_177169,41.303759,-92.666915,204,10027.97703178
p_177169,41.303799,-92.666989,205,10035.60210535
