link_id,name,from_node_id,to_node_id,length,geometry,link_type_name,link_type,dir_flag,lanes,free_speed,capacity
10000045,9707,10000049,10000014,567.7781351587221,"LINESTRING (-92.65459189351601 41.287137832398, -92.65451829999999 41.28698660000001, -92.6545319 41.2852688, -92.6543781 41.2852689, -92.65332109999999 41.28526770000001, -92.65344996713699 41.285207941565)",transit,99,1,1,50,100
10000046,9707,10000014,10000051,479.2225697714424,"LINESTRING (-92.65344996713699 41.285207941565, -92.65332109999999 41.28526770000001, -92.6521552 41.2852628, -92.6497792 41.2852723, -92.649725592589 41.285225467434)",transit,99,1,1,50,100
10000047,9707,10000051,10000052,291.48341540016037,"LINESTRING (-92.649725592589 41.285225467434, -92.6497792 41.2852723, -92.6456557 41.28526289999999, -92.64593114758499 41.285183546281)",transit,99,1,1,50,100
10000048,9707,10000052,10000053,309.50006480085943,"LINESTRING (-92.64593114758499 41.285183546281, -92.6456557 41.28526289999999, -92.6456593 41.2842899, -92.64565040000001 41.2833854, -92.64581401109301 41.283443557546)",transit,99,1,1,50,100
10000049,9707,10000053,10000054,297.91766942619586,"LINESTRING (-92.64581401109301 41.283443557546, -92.64565040000001 41.2833854, -92.6456409 41.2824797, -92.64559720000001 41.2815937, -92.645725257859 41.281638452127)",transit,99,1,1,50,100
10000050,9707,10000054,10000015,422.51226011744984,"LINESTRING (-92.645725257859 41.281638452127, -92.64559720000001 41.2815937, -92.6455064 41.2808531, -92.6454103 41.280271299999995, -92.64536600000001 41.2800035, -92.6451009 41.2784806, -92.6445185 41.2784748, -92.6440392 41.2784701, -92.644139491104 41.278386314466)",transit,99,1,1,50,100
10000051,9707,10000015,10000055,559.0948020976156,"LINESTRING (-92.644139491104 41.278386314466, -92.6440392 41.2784701, -92.6439696 41.2784694, -92.6432935 41.27846270000001, -92.64255990000001 41.2784589, -92.6425222 41.2802113, -92.64225019999999 41.280685, -92.64214190000001 41.28159470000001, -92.642054174341 41.281504834801)",transit,99,1,1,50,100
10000052,9707,10000055,10000056,1038.9809850536528,"LINESTRING (-92.642054174341 41.281504834801, -92.64214190000001 41.28159470000001, -92.6404739 41.28159960000001, -92.6386054 41.2816052, -92.6376933 41.281611, -92.6367639 41.2816671, -92.63690353815201 41.281583387779)",transit,99,1,1,50,100
10000053,9707,10000056,10000057,487.83033481342534,"LINESTRING (-92.63690353815201 41.281583387779, -92.6367639 41.2816671, -92.63193740000001 41.2817539, -92.632077814176 41.281706786412)",transit,99,1,1,50,100
10000054,9707,10000057,10000058,613.342209886098,"LINESTRING (-92.632077814176 41.281706786412, -92.63193740000001 41.2817539, -92.6319222 41.284040399999995, -92.63182932002 41.283963603384)",transit,99,1,1,50,100
10000055,9707,10000058,10000016,429.55602796435414,"LINESTRING (-92.63182932002 41.283963603384, -92.6319222 41.284040399999995, -92.6319179 41.2860821, -92.6319179 41.287062799999994, -92.631847496842 41.287026646779)",transit,99,1,1,50,100
10000056,9707,10000016,10000059,493.245948384597,"LINESTRING (-92.631847496842 41.287026646779, -92.6319179 41.287062799999994, -92.6319155 41.2871592, -92.6319176 41.28798270000001, -92.6319177 41.2880263, -92.63191579999999 41.2884911, -92.63191379999999 41.2889696, -92.631816669329 41.288898120797)",transit,99,1,1,50,100
10000057,9707,10000059,10000060,458.2657365262454,"LINESTRING (-92.631816669329 41.288898120797, -92.63191379999999 41.2889696, -92.6333129 41.2889748, -92.6338676 41.2889768, -92.6344179 41.2889726, -92.6350963 41.2889675, -92.636791 41.2889582, -92.636615414825 41.289062473032)",transit,99,1,1,50,100
10000058,9707,10000060,10000017,480.1971035683063,"LINESTRING (-92.636615414825 41.289062473032, -92.636791 41.2889582, -92.63679559999999 41.28998370000001, -92.6368015 41.2904266, -92.63680740000001 41.2908714, -92.63681009999999 41.2913214, -92.6366973 41.2912541)",transit,99,1,1,50,100
10000059,9707,10000017,10000066,285.5581328517603,"LINESTRING (-92.6366973 41.2912541, -92.63681009999999 41.2913214, -92.6368128 41.2917673, -92.63681690000001 41.2922021, -92.6368172 41.29223620000001, -92.636821 41.29263579999999, -92.636710827528 41.292572157308996)",transit,99,1,1,50,100
10000060,9707,10000066,10000062,243.86764184483266,"LINESTRING (-92.636710827528 41.292572157308996, -92.636821 41.29263579999999, -92.6368253 41.2930929, -92.63682940000001 41.2935325, -92.63682800000001 41.2939776, -92.6368265 41.2944324, -92.636973953183 41.294540127724)",transit,99,1,1,50,100
10000061,9707,10000062,10000063,472.03218634746224,"LINESTRING (-92.636973953183 41.294540127724, -92.6368265 41.2944324, -92.6374132 41.294425399999994, -92.6380082 41.2944183, -92.64092690000001 41.294405299999994, -92.6415235 41.2944026, -92.64166996122101 41.294516200916)",transit,99,1,1,50,100
10000062,9707,10000063,10000064,349.6891745618732,"LINESTRING (-92.64166996122101 41.294516200916, -92.6415235 41.2944026, -92.64208570000001 41.29440820000001, -92.64268009999999 41.29441420000001, -92.6432753 41.2944094, -92.6438804 41.29439910000001, -92.6445077 41.2944016, -92.6450944 41.29440870000001, -92.644874240296 41.294541552329996)",transit,99,1,1,50,100
10000063,9707,10000064,10000002,243.36773974038988,"LINESTRING (-92.644874240296 41.294541552329996, -92.6450944 41.29440870000001, -92.6451031 41.2939312, -92.645111 41.2934971, -92.6451048 41.293012299999994, -92.6450996 41.2926117, -92.6452696 41.2926769)",transit,99,1,1,50,100
10000064,9707,10000002,10000061,491.2098038326382,"LINESTRING (-92.6452696 41.2926769, -92.6450996 41.2926117, -92.64572 41.2926104, -92.646286 41.2926093, -92.6468841 41.292608200000004, -92.64746070000001 41.2926071, -92.64806159999999 41.292606, -92.64864399999999 41.2926049, -92.6492257 41.292603799999995, -92.6498223 41.2926026, -92.64959480263201 41.292688605722)",transit,99,1,1,50,100
10000065,9707,10000061,10000001,359.71436773363996,"LINESTRING (-92.64959480263201 41.292688605722, -92.6498223 41.2926026, -92.64982020000001 41.29348770000001, -92.6488583 41.2936675, -92.64892900000001 41.294393799999995, -92.648484155115 41.294468724891)",transit,99,1,1,50,100
