link_id,name,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry
4864,Orchard Avenue,2012,904,,33.06127933705162,2,25,,tertiary,5,"LINESTRING (-92.666996 41.3039681, -92.6669698 41.3040333, -92.66693069999999 41.3041292, -92.66687109999999 41.3042501)"
4865,,2008,2010,,139.94007480744358,1,29,,service,7,"LINESTRING (-92.66087090000001 41.3046987, -92.6608402 41.3034404)"
4866,,2010,2008,,139.94007480744358,1,29,,service,7,"LINESTRING (-92.6608402 41.3034404, -92.66087090000001 41.3046987)"
4867,,2010,2009,,138.88341909589494,1,29,,service,7,"LINESTRING (-92.6608402 41.3034404, -92.660832 41.3030007, -92.6608183 41.3021915)"
4868,,2009,2010,,138.88341909589494,1,29,,service,7,"LINESTRING (-92.6608183 41.3021915, -92.660832 41.3030007, -92.6608402 41.3034404)"
4869,,2009,1997,,173.57036380976425,1,29,,service,7,"LINESTRING (-92.6608183 41.3021915, -92.6607881 41.3012096, -92.6608042 41.3008497, -92.6607892 41.3006313)"
4870,,1997,2009,,173.57036380976425,1,29,,service,7,"LINESTRING (-92.6607892 41.3006313, -92.6608042 41.3008497, -92.6607881 41.3012096, -92.6608183 41.3021915)"
4871,Pella Avenue,913,2007,,45.149190651731786,2,29,,tertiary,5,"LINESTRING (-92.6663497 41.3035627, -92.6665021 41.3036435, -92.66657050000001 41.3036725, -92.66665329999999 41.3036967, -92.6667309 41.3037131, -92.666805 41.3037276, -92.66683260000001 41.3037352)"
4872,Pella Avenue,2007,919,,15.012173806861346,2,29,,tertiary,5,"LINESTRING (-92.66683260000001 41.3037352, -92.6668762 41.3037473, -92.66691539999999 41.3037588, -92.666989 41.3037992)"
4873,Old Highway 163,716,828,,1291.5466782905114,1,55,,tertiary,5,"LINESTRING (-92.6750499 41.3080262, -92.67583449999999 41.3084862, -92.687425 41.3144666, -92.6876176 41.3145083, -92.6878236 41.3145035)"
4874,Old Highway 163,828,716,,1291.5466782905114,1,55,,tertiary,5,"LINESTRING (-92.6878236 41.3145035, -92.6876176 41.3145083, -92.687425 41.3144666, -92.67583449999999 41.3084862, -92.6750499 41.3080262)"
4875,Old Highway 163,921,1990,,62.754381138815184,1,29,,tertiary,5,"LINESTRING (-92.66728879999999 41.3038734, -92.66736830000001 41.3038686, -92.66744869999999 41.3038706, -92.6675214 41.3038804, -92.66759 41.3039044, -92.667661 41.3039413, -92.66775490000001 41.303997, -92.66796600000001 41.3040755)"
4876,,2006,1996,,103.66082290751764,1,29,,service,7,"LINESTRING (-92.66191689999999 41.3012648, -92.6618994 41.3013278, -92.66189129999999 41.3013761, -92.6618874 41.3021953)"
4877,,1996,2006,,103.66082290751764,1,29,,service,7,"LINESTRING (-92.6618874 41.3021953, -92.66189129999999 41.3013761, -92.6618994 41.3013278, -92.66191689999999 41.3012648)"
4878,,1996,2004,,139.15045672628892,1,29,,service,7,"LINESTRING (-92.6618874 41.3021953, -92.6618941 41.3034467)"
4879,,2004,1996,,139.15045672628892,1,29,,service,7,"LINESTRING (-92.6618941 41.3034467, -92.6618874 41.3021953)"
4880,,2004,2000,,138.20337084892955,1,29,,service,7,"LINESTRING (-92.6618941 41.3034467, -92.6619208 41.3045678, -92.6619232 41.3046894)"
4881,,2000,2004,,138.20337084892955,1,29,,service,7,"LINESTRING (-92.6619232 41.3046894, -92.6619208 41.3045678, -92.6618941 41.3034467)"
4882,Old Highway 163,1990,918,,65.47022323353637,1,29,,tertiary,5,"LINESTRING (-92.66796600000001 41.3040755, -92.66782430000001 41.3040056, -92.667776 41.3039593, -92.66769549999999 41.3039069, -92.6675802 41.3038505, -92.6675158 41.3038162, -92.6674541 41.30378, -92.66740660000001 41.3037471, -92.6673734 41.3037008)"
4883,Orchard Avenue,904,1998,,32.82509924136187,2,25,,tertiary,5,"LINESTRING (-92.66687109999999 41.3042501, -92.66705330000001 41.3040274, -92.6670802 41.3040003)"
4884,Orchard Avenue,1998,903,,17.78841878029128,2,25,,tertiary,5,"LINESTRING (-92.6670802 41.3040003, -92.6671108 41.3039694, -92.66714709999999 41.3039387, -92.6671793 41.3039186, -92.66723399999999 41.303892)"
4885,,2018,2016,,42.18169455452374,1,29,,service,7,"LINESTRING (-92.6690461 41.3016034, -92.6690473 41.3014728, -92.66871620000001 41.3014708)"
4886,,2016,2018,,42.18169455452374,1,29,,service,7,"LINESTRING (-92.66871620000001 41.3014708, -92.6690473 41.3014728, -92.6690461 41.3016034)"
4887,Highway 432,751,915,,69.82161650314754,1,29,,tertiary,5,"LINESTRING (-92.66700830000001 41.303016, -92.6671255 41.3032485, -92.6671506 41.3033112, -92.66716359999999 41.3033683, -92.6671659 41.3034261, -92.6671537 41.3034898, -92.66713230000001 41.3035395, -92.667081 41.3036113)"
4888,Mahaska Community Recreation Trail,962,2011,,103.18104110940462,1,9,,cycleway,8,"LINESTRING (-92.6664115 41.3028706, -92.6663709 41.3029167, -92.666363 41.3029431, -92.6663618 41.3029652, -92.6663789 41.3030072, -92.6664066 41.303038, -92.666453 41.303078, -92.6665203 41.3031222, -92.666571 41.3031702, -92.6666788 41.3032974, -92.6667111 41.3033486, -92.6667235 41.3033908, -92.6667252 41.3034308, -92.66672199999999 41.3034973, -92.6667284 41.3035217, -92.6667515 41.3035473, -92.666803 41.3035836, -92.6668399 41.3036188, -92.6668506 41.303643, -92.6668494 41.3036675)"
4889,Mahaska Community Recreation Trail,2011,2007,,7.657583400591477,1,9,,cycleway,8,"LINESTRING (-92.6668494 41.3036675, -92.66683260000001 41.3037352)"
4890,Mahaska Community Recreation Trail,2007,963,,26.681597791074186,1,9,,cycleway,8,"LINESTRING (-92.66683260000001 41.3037352, -92.6668157 41.3038162, -92.6668157 41.3038404, -92.6668318 41.3038706, -92.666856 41.3039009, -92.6668828 41.303923, -92.666923 41.3039426)"
4891,Mahaska Community Recreation Trail,963,2012,,6.7248215506739415,1,9,,cycleway,8,"LINESTRING (-92.666923 41.3039426, -92.666996 41.3039681)"
4892,Mahaska Community Recreation Trail,2012,1998,,7.892277438986709,1,9,,cycleway,8,"LINESTRING (-92.666996 41.3039681, -92.6670802 41.3040003)"
4893,Mahaska Community Recreation Trail,1998,964,,7.28566812854482,1,9,,cycleway,8,"LINESTRING (-92.6670802 41.3040003, -92.6671529 41.3040365)"
4894,,2016,2023,,30.20391070079573,1,29,,service,7,"LINESTRING (-92.66871620000001 41.3014708, -92.6687108 41.3017424)"
4895,,2023,2016,,30.20391070079573,1,29,,service,7,"LINESTRING (-92.6687108 41.3017424, -92.66871620000001 41.3014708)"
4896,,1999,2024,,109.49006189061652,1,29,,service,7,"LINESTRING (-92.6699417 41.3040216, -92.66990439999999 41.3040838, -92.6698883 41.3041221, -92.6698803 41.3041564, -92.66987760000001 41.3041946, -92.669883 41.3044646, -92.669883 41.3044969, -92.6698803 41.3045311, -92.66987229999999 41.3045614, -92.66986420000001 41.3045896, -92.66985080000001 41.3046218, -92.669832 41.30465, -92.6698052 41.3046762, -92.6697676 41.3046984, -92.66973280000001 41.3047105, -92.6696738 41.3047205, -92.66961740000001 41.3047246, -92.6695611 41.3047246, -92.6695155 41.3047205, -92.6694565 41.3047105, -92.6694136 41.304701)"
4897,,2024,1999,,109.49006189061657,1,29,,service,7,"LINESTRING (-92.6694136 41.304701, -92.6694565 41.3047105, -92.6695155 41.3047205, -92.6695611 41.3047246, -92.66961740000001 41.3047246, -92.6696738 41.3047205, -92.66973280000001 41.3047105, -92.6697676 41.3046984, -92.6698052 41.3046762, -92.669832 41.30465, -92.66985080000001 41.3046218, -92.66986420000001 41.3045896, -92.66987229999999 41.3045614, -92.6698803 41.3045311, -92.669883 41.3044969, -92.669883 41.3044646, -92.66987760000001 41.3041946, -92.6698803 41.3041564, -92.6698883 41.3041221, -92.66990439999999 41.3040838, -92.6699417 41.3040216)"
4898,,2014,2022,,65.19764827804057,1,29,,service,7,"LINESTRING (-92.6685231 41.3032539, -92.66930360000001 41.3032517)"
4899,,2022,2014,,65.19764827804057,1,29,,service,7,"LINESTRING (-92.66930360000001 41.3032517, -92.6685231 41.3032539)"
4900,,2019,2002,,140.87811348609586,1,29,,service,7,"LINESTRING (-92.668102 41.3014669, -92.66743529999999 41.3014628, -92.6672598 41.3014644, -92.6671752 41.3014668, -92.6671096 41.3014706, -92.6670337 41.3014768, -92.6664237 41.3015485)"
4901,,2002,2019,,140.87811348609586,1,29,,service,7,"LINESTRING (-92.6664237 41.3015485, -92.6670337 41.3014768, -92.6671096 41.3014706, -92.6671752 41.3014668, -92.6672598 41.3014644, -92.66743529999999 41.3014628, -92.668102 41.3014669)"
4902,,2015,2019,,99.2467045970622,1,29,,service,7,"LINESTRING (-92.6680898 41.3023594, -92.668102 41.3014669)"
4903,,2019,2015,,99.2467045970622,1,29,,service,7,"LINESTRING (-92.668102 41.3014669, -92.6680898 41.3023594)"
4904,,2014,2013,,58.05662357884662,1,29,,service,7,"LINESTRING (-92.6685231 41.3032539, -92.6685177 41.3027318)"
4905,,2013,2014,,58.05662357884662,1,29,,service,7,"LINESTRING (-92.6685177 41.3027318, -92.6685231 41.3032539)"
4906,,2017,913,,75.39700653201113,1,29,,service,7,"LINESTRING (-92.6658892 41.3033221, -92.6659896 41.3032803, -92.6660701 41.3032561, -92.6661398 41.303242, -92.6661988 41.30324, -92.66624710000001 41.303244, -92.6662927 41.3032561, -92.6663356 41.3032722, -92.66637849999999 41.3032984, -92.6664 41.3033266, -92.6664107 41.3033588, -92.6664134 41.3034012, -92.666408 41.3034415, -92.666392 41.3034848, -92.6663497 41.3035627)"
4907,,913,2017,,75.39700653201113,1,29,,service,7,"LINESTRING (-92.6663497 41.3035627, -92.666392 41.3034848, -92.666408 41.3034415, -92.6664134 41.3034012, -92.6664107 41.3033588, -92.6664 41.3033266, -92.66637849999999 41.3032984, -92.6663356 41.3032722, -92.6662927 41.3032561, -92.66624710000001 41.303244, -92.6661988 41.30324, -92.6661398 41.303242, -92.6660701 41.3032561, -92.6659896 41.3032803, -92.6658892 41.3033221)"
4908,,2021,2014,,68.1370259147821,1,29,,service,7,"LINESTRING (-92.6677097 41.3032756, -92.66781229999999 41.3032597, -92.6679223 41.3032557, -92.6685231 41.3032539)"
4909,,2014,2021,,68.1370259147821,1,29,,service,7,"LINESTRING (-92.6685231 41.3032539, -92.6679223 41.3032557, -92.66781229999999 41.3032597, -92.6677097 41.3032756)"
4910,,2016,2019,,51.30895521009682,1,29,,service,7,"LINESTRING (-92.66871620000001 41.3014708, -92.668102 41.3014669)"
4911,,2019,2016,,51.30895521009682,1,29,,service,7,"LINESTRING (-92.668102 41.3014669, -92.66871620000001 41.3014708)"
4912,Highway 432 Frontage Road,2024,2021,,215.8723968453556,1,29,,unclassified,11,"LINESTRING (-92.6694136 41.304701, -92.6693477 41.3046665, -92.66928590000001 41.3046312, -92.668786 41.3042954, -92.66826450000001 41.3039337, -92.6681779 41.3038677, -92.6681154 41.3038158, -92.66803350000001 41.3037365, -92.6679518 41.3036466, -92.66787789999999 41.3035543, -92.66783820000001 41.3034958, -92.66777930000001 41.303401, -92.6677372 41.3033282, -92.6677097 41.3032756)"
4913,Highway 432 Frontage Road,2021,2024,,215.8723968453556,1,29,,unclassified,11,"LINESTRING (-92.6677097 41.3032756, -92.6677372 41.3033282, -92.66777930000001 41.303401, -92.66783820000001 41.3034958, -92.66787789999999 41.3035543, -92.6679518 41.3036466, -92.66803350000001 41.3037365, -92.6681154 41.3038158, -92.6681779 41.3038677, -92.66826450000001 41.3039337, -92.668786 41.3042954, -92.66928590000001 41.3046312, -92.6693477 41.3046665, -92.6694136 41.304701)"
4914,Highway 432 Frontage Road,2021,2020,,125.72869794245632,1,29,,unclassified,11,"LINESTRING (-92.6677097 41.3032756, -92.6676097 41.3030848, -92.6674836 41.3028229, -92.6674407 41.3027523, -92.6673978 41.3026979, -92.6673468 41.3026536, -92.66729049999999 41.3026214, -92.6672208 41.3025972, -92.6671403 41.3025851, -92.66704249999999 41.3025787, -92.6669326 41.3025787, -92.66685529999999 41.3025849, -92.6667774 41.3026003)"
4915,Highway 432 Frontage Road,2020,2021,,125.72869794245632,1,29,,unclassified,11,"LINESTRING (-92.6667774 41.3026003, -92.66685529999999 41.3025849, -92.6669326 41.3025787, -92.66704249999999 41.3025787, -92.6671403 41.3025851, -92.6672208 41.3025972, -92.66729049999999 41.3026214, -92.6673468 41.3026536, -92.6673978 41.3026979, -92.6674407 41.3027523, -92.6674836 41.3028229, -92.6676097 41.3030848, -92.6677097 41.3032756)"
4916,D Avenue West,750,799,,528.3978711815269,1,29,,residential,6,"LINESTRING (-92.66601009999999 41.2997495, -92.65968479999999 41.2997578)"
4917,D Avenue West,799,750,,528.3978711815269,1,29,,residential,6,"LINESTRING (-92.65968479999999 41.2997578, -92.66601009999999 41.2997495)"
4918,,524,2111,,264.04049865203166,1,39,,primary,3,"LINESTRING (-92.6512281 41.3396285, -92.6522403 41.3412643, -92.65250302607076 41.3418)"
4919,,2111,524,,264.04049865203166,1,39,,primary,3,"LINESTRING (-92.65250302607076 41.3418, -92.6522403 41.3412643, -92.6512281 41.3396285)"
4920,,22,2033,,382.8308668832248,1,29,,service,7,"LINESTRING (-92.6241667 41.299846, -92.6241237 41.2999909, -92.6241192 41.3003102, -92.6240643 41.3004286, -92.62398210000001 41.3005196, -92.6235137 41.3007805, -92.6228101 41.3012061, -92.6221132 41.3016507, -92.62204010000001 41.3017519, -92.621999 41.3018635, -92.6219739 41.3019819, -92.6219602 41.3025672)"
4921,,2033,22,,382.8308668832248,1,29,,service,7,"LINESTRING (-92.6219602 41.3025672, -92.6219739 41.3019819, -92.621999 41.3018635, -92.62204010000001 41.3017519, -92.6221132 41.3016507, -92.6228101 41.3012061, -92.6235137 41.3007805, -92.62398210000001 41.3005196, -92.6240643 41.3004286, -92.6241192 41.3003102, -92.6241237 41.2999909, -92.6241667 41.299846)"
4922,,2033,2033,,69.27562200295161,1,29,,service,7,"LINESTRING (-92.6219602 41.3025672, -92.6219693 41.3026393, -92.6219396 41.302689, -92.62187110000001 41.3027354, -92.6217705 41.3027371, -92.6217134 41.3027234, -92.6216974 41.3026822, -92.6216974 41.3026444, -92.6217134 41.3026152, -92.6217705 41.3025981, -92.621903 41.3025878, -92.6219602 41.3025672)"
4923,,2033,2033,,69.27562200295161,1,29,,service,7,"LINESTRING (-92.6219602 41.3025672, -92.621903 41.3025878, -92.6217705 41.3025981, -92.6217134 41.3026152, -92.6216974 41.3026444, -92.6216974 41.3026822, -92.6217134 41.3027234, -92.6217705 41.3027371, -92.62187110000001 41.3027354, -92.6219396 41.302689, -92.6219693 41.3026393, -92.6219602 41.3025672)"
4924,,2034,23,,104.86319976927605,1,29,,service,7,"LINESTRING (-92.6206636 41.300384, -92.620707 41.3003239, -92.6207756 41.300293, -92.62092629999999 41.3002965, -92.6210931 41.3002724, -92.621269 41.3001866, -92.6216163 41.2999635, -92.6216963 41.2999223)"
4925,,23,2034,,104.86319976927605,1,29,,service,7,"LINESTRING (-92.6216963 41.2999223, -92.6216163 41.2999635, -92.621269 41.3001866, -92.6210931 41.3002724, -92.62092629999999 41.3002965, -92.6207756 41.300293, -92.620707 41.3003239, -92.6206636 41.300384)"
