node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,geometry
10000001,2429221,-92.648484155115,41.294468724891,transit,,,POINT (-92.648484155115 41.294468724891)
10000002,2429222,-92.6452696,41.2926769,transit,,,POINT (-92.6452696 41.2926769)
10000003,2429223,-92.643760442958,41.296950643566,transit,,,POINT (-92.643760442958 41.296950643566)
10000004,2429224,-92.641434147372,41.298952906414,transit,,,POINT (-92.641434147372 41.298952906414)
10000005,2429225,-92.636733125677,41.29723261066,transit,,,POINT (-92.636733125677 41.29723261066)
10000006,2429226,-92.630464186136,41.29999081905,transit,,,POINT (-92.630464186136 41.29999081905)
10000007,2429227,-92.641482100171,41.308353924059,transit,,,POINT (-92.641482100171 41.308353924059)
10000008,2429228,-92.648003787081,41.307828222836,transit,,,POINT (-92.648003787081 41.307828222836)
10000009,2429229,-92.650726525955,41.302224921743,transit,,,POINT (-92.650726525955 41.302224921743)
10000010,2429230,-92.649954917943,41.297184595771,transit,,,POINT (-92.649954917943 41.297184595771)
10000011,2429231,-92.663963628685,41.302420046782,transit,,,POINT (-92.663963628685 41.302420046782)
10000012,2429232,-92.669851610855,41.298089695265,transit,,,POINT (-92.669851610855 41.298089695265)
10000013,2429233,-92.659309017765,41.295199001549,transit,,,POINT (-92.659309017765 41.295199001549)
10000014,2429234,-92.653449967137,41.285207941565,transit,,,POINT (-92.653449967137 41.285207941565)
10000015,2429235,-92.644139491104,41.278386314466,transit,,,POINT (-92.644139491104 41.278386314466)
10000016,2429236,-92.631847496842,41.287026646779,transit,,,POINT (-92.631847496842 41.287026646779)
10000017,2429237,-92.6366973,41.2912541,transit,,,POINT (-92.6366973 41.2912541)
10000018,2436348,-92.649727973695,41.295224680166,transit,,,POINT (-92.649727973695 41.295224680166)
10000019,2436350,-92.642872127123,41.298455895024,transit,,,POINT (-92.642872127123 41.298455895024)
10000020,2436351,-92.640496981541,41.298440819911,transit,,,POINT (-92.640496981541 41.298440819911)
10000021,2436352,-92.638157794962,41.29846377464,transit,,,POINT (-92.638157794962 41.29846377464)
10000022,2436353,-92.635497711837,41.298442705907,transit,,,POINT (-92.635497711837 41.298442705907)
10000023,2436354,-92.633186397242,41.298456633492,transit,,,POINT (-92.633186397242 41.298456633492)
10000024,2436355,-92.631943368776,41.299688571411,transit,,,POINT (-92.631943368776 41.299688571411)
10000025,2436356,-92.634384338719,41.298611668675,transit,,,POINT (-92.634384338719 41.298611668675)
10000026,2436357,-92.639007688413,41.297230851949,transit,,,POINT (-92.639007688413 41.297230851949)
10000027,2436358,-92.641365029194,41.297228209428,transit,,,POINT (-92.641365029194 41.297228209428)
10000028,2436359,-92.64144827226,41.301531536515,transit,,,POINT (-92.64144827226 41.301531536515)
10000029,2436360,-92.641444269237,41.304252889107,transit,,,POINT (-92.641444269237 41.304252889107)
10000030,2436361,-92.641505681477,41.310944464432,transit,,,POINT (-92.641505681477 41.310944464432)
10000031,2436362,-92.645508390387,41.312688620846,transit,,,POINT (-92.645508390387 41.312688620846)
10000032,2436363,-92.645748646417,41.310274839679,transit,,,POINT (-92.645748646417 41.310274839679)
10000033,2436364,-92.650733499678,41.307612402619,transit,,,POINT (-92.650733499678 41.307612402619)
10000034,2436365,-92.650692494047,41.304410348495,transit,,,POINT (-92.650692494047 41.304410348495)
10000035,2436366,-92.64995833235,41.300721178522,transit,,,POINT (-92.64995833235 41.300721178522)
10000036,2436367,-92.653193978518,41.297195547707,transit,,,POINT (-92.653193978518 41.297195547707)
10000037,2436368,-92.655545520662,41.29717978837,transit,,,POINT (-92.655545520662 41.29717978837)
10000038,2436369,-92.657916537353,41.297185619928,transit,,,POINT (-92.657916537353 41.297185619928)
10000039,2436370,-92.659099235136,41.298378252527,transit,,,POINT (-92.659099235136 41.298378252527)
10000040,2436371,-92.660050479744,41.30033218659,transit,,,POINT (-92.660050479744 41.30033218659)
10000041,2436372,-92.666784445839,41.303775032623,transit,,,POINT (-92.666784445839 41.303775032623)
10000042,2436373,-92.666544919128,41.301648492432,transit,,,POINT (-92.666544919128 41.301648492432)
10000043,2436374,-92.662648852511,41.296099828105,transit,,,POINT (-92.662648852511 41.296099828105)
10000044,2436375,-92.656980801716,41.295214797391,transit,,,POINT (-92.656980801716 41.295214797391)
10000045,2436376,-92.654625211932,41.295225284993,transit,,,POINT (-92.654625211932 41.295225284993)
10000046,2436377,-92.654634968779,41.293580263646,transit,,,POINT (-92.654634968779 41.293580263646)
10000047,2436378,-92.65458401408,41.291795754459,transit,,,POINT (-92.65458401408 41.291795754459)
10000048,2436379,-92.654626390143,41.289999780427,transit,,,POINT (-92.654626390143 41.289999780427)
10000049,2436380,-92.654591893516,41.287137832398,transit,,,POINT (-92.654591893516 41.287137832398)
10000050,2436381,-92.652287635362,41.285213650932,transit,,,POINT (-92.652287635362 41.285213650932)
10000051,2436382,-92.649725592589,41.285225467434,transit,,,POINT (-92.649725592589 41.285225467434)
10000052,2436383,-92.645931147585,41.285183546281,transit,,,POINT (-92.645931147585 41.285183546281)
10000053,2436384,-92.645814011093,41.283443557546,transit,,,POINT (-92.645814011093 41.283443557546)
10000054,2436385,-92.645725257859,41.281638452127,transit,,,POINT (-92.645725257859 41.281638452127)
10000055,2436386,-92.642054174341,41.281504834801,transit,,,POINT (-92.642054174341 41.281504834801)
10000056,2436387,-92.636903538152,41.281583387779,transit,,,POINT (-92.636903538152 41.281583387779)
10000057,2436388,-92.632077814176,41.281706786412,transit,,,POINT (-92.632077814176 41.281706786412)
