agent_id,agent_type,trip_id,route_id,route_id_short_name,from_node_id,to_node_id,travel_time,node_sequence,time_sequence
0,transit,t_199628_b_6369_tn_1,9707,Oskaloosa Rides,10000001,10000001,60.0,10000001;10000018;10000065;10000003;10000019;10000020;10000021;10000022;10000023;10000024;10000006;10000025;10000005;10000026;10000027;10000004;10000028;10000029;10000007;10000030;10000031;10000032;10000008;10000033;10000034;10000009;10000035;10000010;10000036;10000037;10000038;10000039;10000040;10000011;10000041;10000042;10000012;10000043;10000013;10000044;10000045;10000046;10000047;10000048;10000049;10000014;10000051;10000052;10000053;10000054;10000015;10000055;10000056;10000057;10000058;10000016;10000059;10000060;10000017;10000066;10000062;10000063;10000064;10000002;10000061;10000001;,0900:00;0903:00;0907:00;0912:00;0914:00;0917:00;0920:00;0923:00;0926:00;0929:00;0934:00;0938:00;0942:00;0945:00;0948:00;0951:00;0955:00;1000:00;
1,transit,t_199628_b_6369_tn_2,9707,Oskaloosa Rides,10000001,10000001,60.0,10000001;10000018;10000065;10000003;10000019;10000020;10000021;10000022;10000023;10000024;10000006;10000025;10000005;10000026;10000027;10000004;10000028;10000029;10000007;10000030;10000031;10000032;10000008;10000033;10000034;10000009;10000035;10000010;10000036;10000037;10000038;10000039;10000040;10000011;10000041;10000042;10000012;10000043;10000013;10000044;10000045;10000046;10000047;10000048;10000049;10000014;10000051;10000052;10000053;10000054;10000015;10000055;10000056;10000057;10000058;10000016;10000059;10000060;10000017;10000066;10000062;10000063;10000064;10000002;10000061;10000001;,1000:00;1003:00;1007:00;1012:00;1014:00;1017:00;1020:00;1023:00;1026:00;1029:00;1034:00;1038:00;1042:00;1045:00;1048:00;1051:00;1055:00;1100:00;
2,transit,t_199628_b_6369_tn_3,9707,Oskaloosa Rides,10000001,10000001,60.0,10000001;10000018;10000065;10000003;10000019;10000020;10000021;10000022;10000023;10000024;10000006;10000025;10000005;10000026;10000027;10000004;10000028;10000029;10000007;10000030;10000031;10000032;10000008;10000033;10000034;10000009;10000035;10000010;10000036;10000037;10000038;10000039;10000040;10000011;10000041;10000042;10000012;10000043;10000013;10000044;10000045;10000046;10000047;10000048;10000049;10000014;10000051;10000052;10000053;10000054;10000015;10000055;10000056;10000057;10000058;10000016;10000059;10000060;10000017;10000066;10000062;10000063;10000064;10000002;10000061;10000001;,1100:00;1103:00;1107:00;1112:00;1114:00;1117:00;1120:00;1123:00;1126:00;1129:00;1134:00;1138:00;1142:00;1145:00;1148:00;1151:00;1155:00;1200:00;
3,transit,t_199628_b_6369_tn_4,9707,Oskaloosa Rides,10000001,10000001,60.0,10000001;10000018;10000065;10000003;10000019;10000020;10000021;10000022;10000023;10000024;10000006;10000025;10000005;10000026;10000027;10000004;10000028;10000029;10000007;10000030;10000031;10000032;10000008;10000033;10000034;10000009;10000035;10000010;10000036;10000037;10000038;10000039;10000040;10000011;10000041;10000042;10000012;10000043;10000013;10000044;10000045;10000046;10000047;10000048;10000049;10000014;10000051;10000052;10000053;10000054;10000015;10000055;10000056;10000057;10000058;10000016;10000059;10000060;10000017;10000066;10000062;10000063;10000064;10000002;10000061;10000001;,1200:00;1203:00;1207:00;1212:00;1214:00;1217:00;1220:00;1223:00;1226:00;1229:00;1234:00;1238:00;1242:00;1245:00;1248:00;1251:00;1255:00;1300:00;
4,transit,t_199628_b_6369_tn_5,9707,Oskaloosa Rides,10000001,10000001,60.0,10000001;10000018;10000065;10000003;10000019;10000020;10000021;10000022;10000023;10000024;10000006;10000025;10000005;10000026;10000027;10000004;10000028;10000029;10000007;10000030;10000031;10000032;10000008;10000033;10000034;10000009;10000035;10000010;10000036;10000037;10000038;10000039;10000040;10000011;10000041;10000042;10000012;10000043;10000013;10000044;10000045;10000046;10000047;10000048;10000049;10000014;10000051;10000052;10000053;10000054;10000015;10000055;10000056;10000057;10000058;10000016;10000059;10000060;10000017;10000066;10000062;10000063;10000064;10000002;10000061;10000001;,1300:00;1303:00;1307:00;1312:00;1314:00;1317:00;1320:00;1323:00;1326:00;1329:00;1334:00;1338:00;1342:00;1345:00;1348:00;1351:00;1355:00;1400:00;
5,transit,t_199629_b_6369_tn_1,9707,Oskaloosa Rides,10000001,10000001,60.0,10000001;10000018;10000065;10000003;10000019;10000020;10000021;10000022;10000023;10000024;10000006;10000025;10000005;10000026;10000027;10000004;10000028;10000029;10000007;10000030;10000031;10000032;10000008;10000033;10000034;10000009;10000035;10000010;10000036;10000037;10000038;10000039;10000040;10000011;10000041;10000042;10000012;10000043;10000013;10000044;10000045;10000046;10000047;10000048;10000049;10000014;10000051;10000052;10000053;10000054;10000015;10000055;10000056;10000057;10000058;10000016;10000059;10000060;10000017;10000066;10000062;10000063;10000064;10000002;10000061;10000001;,1430:00;1433:00;1437:00;1442:00;1444:00;1447:00;1450:00;1453:00;1456:00;1459:00;1504:00;1508:00;1512:00;1515:00;1518:00;1521:00;1525:00;1530:00;
6,transit,t_199629_b_6369_tn_2,9707,Oskaloosa Rides,10000001,10000001,60.0,10000001;10000018;10000065;10000003;10000019;10000020;10000021;10000022;10000023;10000024;10000006;10000025;10000005;10000026;10000027;10000004;10000028;10000029;10000007;10000030;10000031;10000032;10000008;10000033;10000034;10000009;10000035;10000010;10000036;10000037;10000038;10000039;10000040;10000011;10000041;10000042;10000012;10000043;10000013;10000044;10000045;10000046;10000047;10000048;10000049;10000014;10000051;10000052;10000053;10000054;10000015;10000055;10000056;10000057;10000058;10000016;10000059;10000060;10000017;10000066;10000062;10000063;10000064;10000002;10000061;10000001;,1530:00;1533:00;1537:00;1542:00;1544:00;1547:00;1550:00;1553:00;1556:00;1559:00;1604:00;1608:00;1612:00;1615:00;1618:00;1621:00;1625:00;1630:00;
7,transit,t_199629_b_6369_tn_3,9707,Oskaloosa Rides,10000001,10000001,60.0,10000001;10000018;10000065;10000003;10000019;10000020;10000021;10000022;10000023;10000024;10000006;10000025;10000005;10000026;10000027;10000004;10000028;10000029;10000007;10000030;10000031;10000032;10000008;10000033;10000034;10000009;10000035;10000010;10000036;10000037;10000038;10000039;10000040;10000011;10000041;10000042;10000012;10000043;10000013;10000044;10000045;10000046;10000047;10000048;10000049;10000014;10000051;10000052;10000053;10000054;10000015;10000055;10000056;10000057;10000058;10000016;10000059;10000060;10000017;10000066;10000062;10000063;10000064;10000002;10000061;10000001;,1630:00;1633:00;1637:00;1642:00;1644:00;1647:00;1650:00;1653:00;1656:00;1659:00;1704:00;1708:00;1712:00;1715:00;1718:00;1721:00;1725:00;1730:00;
