node_id,name,x_coord,y_coord,node_type,zone_id
0,,-92.6291543,41.2883596,,
1,,-92.6290992,41.2894232,,
2,,-92.6173867,41.2854394,,
3,,-92.6189966,41.28544520000001,,
4,,-92.6203214,41.28545,,
5,,-92.6216467,41.2854548,,
6,,-92.6592231,41.2952939,,
7,,-92.6592177,41.2962038,,
8,,-92.6592032,41.2970924,,
9,,-92.6591974,41.2984588,,
10,,-92.6592145,41.2993493,,
11,,-92.6614097,41.3009698,,
12,,-92.6613877,41.3021935,,
13,,-92.6613829,41.3034436,,
14,,-92.6614198,41.3046939,,
15,,-92.6614372,41.3052941,,
16,,-92.6458623,41.3190019,,
17,,-92.648233,41.3186446,,
18,,-92.6270092,41.2995039,,
19,,-92.6273579,41.2996411,,
20,,-92.62735759999998,41.2990405,,
21,,-92.6252488,41.29979210000001,,
22,,-92.6241667,41.299846,,
23,,-92.6216963,41.2999223,,
24,,-92.6207849,41.2962063,,
25,,-92.6223843,41.2959716,,
26,,-92.6217986,41.2959665,,
27,,-92.6185125,41.2959466,,
28,,-92.6179744,41.2959428,,
29,,-92.5338216,41.30283970000001,,
30,,-92.5296944,41.3068317,,
31,,-92.717839,41.277735,,
32,,-92.7180874,41.2779487,,
33,,-92.6627281,41.2944519,,
34,,-92.662692,41.2952862,,
35,,-92.7011528,41.2676625,,
36,,-92.6252227,41.2961989,,
37,,-92.6252196,41.2959603,,
38,,-92.6297418,41.29594390000001,,
39,,-92.53982059999998,41.2873628,,
40,,-92.603958,41.311166,,
41,,-92.60311,41.310403,,
42,,-92.7176797,41.2779487,,
43,,-92.6513699,41.3278593,,
44,,-92.6507011,41.3278071,,
45,,-92.6521438,41.2843971,,
46,,-92.651271,41.2843956,,
47,,-92.5390801,41.2798351,,
48,,-92.5395108,41.2852961,,
49,,-92.679659,41.341367,,
50,,-92.681364,41.34157800000001,,
51,,-92.6624529,41.3053032,,
52,,-92.6601936,41.30528620000001,,
53,,-92.6175777,41.2878389,,
54,,-92.6173008,41.2890823,,
55,,-92.6735428,41.2961787,,
56,,-92.6145469,41.287068100000006,,
57,,-92.6173849,41.2870575,,
58,,-92.6765546,41.2809417,,
60,,-92.6184475,41.2915768,,
61,,-92.6183279,41.2920448,,
62,,-92.6458976,41.324025,,
63,,-92.6460184,41.326779,,
64,,-92.603108,41.310663,,
65,,-92.60326,41.311029,,
66,,-92.66,41.2820922,,
67,,-92.658472,41.2815767,,
68,,-92.6560219,41.2826833,,
69,,-92.649507,41.33087800000001,,
70,,-92.6505031,41.3330386,,
71,,-92.6478843,41.3077498,,
72,,-92.6478916,41.3086951,,
73,,-92.6318709,41.3034072,,
74,,-92.6318511,41.3037237,,
75,,-92.6317668,41.3052215,,
76,,-92.6329239,41.3057706,,
77,,-92.634271,41.3065739,,
78,,-92.6345338,41.3034116,,
79,,-92.5404281,41.28943870000001,,
80,,-92.5401385,41.2904673,,
81,,-92.5419744,41.2900945,,
82,,-92.5417454,41.2912182,,
83,,-92.5418307,41.2901545,,
84,,-92.5434478,41.28889570000001,,
85,,-92.6528521,41.2819109,,
86,,-92.6551196,41.2827589,,
87,,-92.6533211,41.28526770000001,,
88,,-92.6185181,41.2961962,,
89,,-92.6575374,41.2838044,,
90,,-92.6599974,41.2841206,,
91,,-92.6545026,41.3034045,,
92,,-92.6556918,41.3033988,,
93,,-92.5405091,41.2866745,,
94,,-92.543035,41.2863841,,
95,,-92.5405904,41.2847927,,
96,,-92.5412199,41.28666550000001,,
98,,-92.538483,41.2851766,,
99,,-92.5381373,41.2854018,,
100,,-92.5378497,41.2857242,,
101,,-92.679669,41.338505,,
102,,-92.678034,41.338518,,
103,,-92.67966,41.341109,,
104,,-92.678085,41.341109,,
105,,-92.617194,41.31619600000001,,
106,,-92.616586,41.316286,,
107,,-92.6034374,41.2867264,,
108,,-92.6032094,41.2867514,,
109,,-92.6031594,41.2869014,,
110,,-92.6031094,41.2866274,,
111,,-92.658596,41.335498,,
112,,-92.65861,41.336424,,
113,,-92.658613,41.336638,,
114,,-92.657828,41.336567,,
115,,-92.66000490000002,41.2852765,,
116,,-92.612748,41.310261,,
117,,-92.613261,41.310011,,
118,,-92.6033971,41.2894416,,
119,,-92.6025431,41.2891386,,
121,,-92.6410561,41.3255351,,
122,,-92.6424113,41.3255194,,
123,,-92.593558,41.329143,,
124,,-92.5930599,41.3289225,,
125,,-92.6185219,41.28664379999999,,
126,,-92.6189842,41.2866433,,
127,,-92.6187984,41.2879205,,
128,,-92.6185838,41.2891967,,
129,,-92.618628,41.2905411,,
130,,-92.6186222,41.2912213,,
131,,-92.683903,41.285166,,
132,,-92.683904,41.285288,,
133,,-92.5348462,41.2957674,,
134,,-92.5434499,41.287932,,
135,,-92.5434014,41.2881315,,
136,,-92.649848,41.3018015,,
137,,-92.6506316,41.301808,,
138,,-92.632305,41.2562869,,
139,,-92.63179,41.2559723,,
140,,-92.6574383,41.2840105,,
141,,-92.621801,41.2962102,,
143,,-92.6795411,41.2635716,,
144,,-92.6798608,41.269026200000006,,
145,,-92.6224256,41.3108328,,
146,,-92.6318689,41.30102460000001,,
147,,-92.6305102,41.3010313,,
148,,-92.6439101,41.300764,,
149,,-92.6451228,41.3007588,,
150,,-92.6366785,41.3009406,,
151,,-92.6356768,41.3010084,,
152,,-92.6203419,41.2889381,,
153,,-92.6216395,41.2889549,,
154,,-92.6270005,41.2871512,,
155,,-92.6306975,41.288976,,
156,,-92.6319138,41.2889696,,
157,,-92.6338676,41.2889768,,
158,,-92.6350963,41.2889675,,
159,,-92.636791,41.2889582,,
160,,-92.5348585,41.29293970000001,,
161,,-92.555212,41.292948,,
162,,-92.549105,41.293063,,
163,,-92.6451081,41.2953139,,
164,,-92.6451258,41.2962328,,
165,,-92.6451225,41.2971209,,
166,,-92.6451161,41.2984877,,
167,,-92.6451221,41.3016791,,
168,,-92.645246,41.3034792,,
169,,-92.645292,41.3043549,,
170,,-92.6453228,41.3049174,,
171,,-92.645415,41.3062027,,
172,,-92.6454985,41.30741629999999,,
173,,-92.64551740000002,41.3077531,,
174,,-92.6456775,41.3113402,,
175,,-92.6457312,41.3124858,,
176,,-92.6457467,41.312875,,
177,,-92.6458438,41.3169881,,
178,,-92.6458665,41.3196308,,
179,,-92.6438928,41.295321,,
180,,-92.6438928,41.2962368,,
181,,-92.6439061,41.2971198,,
182,,-92.6439072,41.298494700000006,,
183,,-92.6439167,41.3016778,,
184,,-92.6439279,41.3028609,,
185,,-92.6439376,41.3043574,,
186,,-92.6600217,41.2870789,,
187,,-92.660018,41.2880291,,
188,,-92.6600191,41.2885113,,
189,,-92.66002,41.2888196,,
190,,-92.6600256,41.292501,,
191,,-92.6600239,41.2934633,,
192,,-92.6599503,41.2939131,,
193,,-92.6455972,41.2815937,,
194,,-92.6456409,41.2824797,,
195,,-92.6456504,41.2833854,,
196,,-92.6456593,41.2842899,,
197,,-92.6456557,41.28526289999999,,
198,,-92.6453331,41.286528,,
199,,-92.6450926,41.2876411,,
200,,-92.6450809,41.2880488,,
201,,-92.645085,41.2894704,,
202,,-92.645091,41.28984370000001,,
203,,-92.6450913,41.28994960000001,,
204,,-92.6450832,41.29083710000001,,
205,,-92.6450943,41.2917247,,
206,,-92.6450996,41.2926117,,
207,,-92.645111,41.2934971,,
208,,-92.6450944,41.29440870000001,,
209,,-92.6438509,41.3082586,,
210,,-92.64385959999998,41.3112158,,
211,,-92.6474333,41.2880314,,
212,,-92.6486171,41.288028,,
213,,-92.6497939,41.2880285,,
214,,-92.6510096,41.288030600000006,,
215,,-92.6521922,41.2880274,,
216,,-92.6614648,41.2880209,,
217,,-92.6318955,41.2985328,,
218,,-92.6333322,41.298527,,
219,,-92.6345096,41.29852260000001,,
