link_id,name,from_node_id,to_node_id,length,geometry,link_type,dir_flag,lanes,free_speed,capacity
10023941,45,10000306,10000316,0.436487551,"LINESTRING (-112.03370109999999 33.40676853, -112.0289988 33.40678333)",transit,1,1,65,1900
10023942,45,10000316,10000337,0.218061465,"LINESTRING (-112.0289988 33.40678333, -112.0266503 33.40683132)",transit,1,1,65,1900
10023943,45,10000337,10000348,0.266673717,"LINESTRING (-112.0266503 33.40683132, -112.0237774 33.40683774)",transit,1,1,65,1900
10023944,45,10000348,10000359,0.302030894,"LINESTRING (-112.0237774 33.40683774, -112.0205236 33.40682879)",transit,1,1,65,1900
10023945,45,10000359,10000370,0.379415847,"LINESTRING (-112.0205236 33.40682879, -112.0164371 33.40690416)",transit,1,1,65,1900
10023946,45,10000370,10000387,0.417893589,"LINESTRING (-112.0164371 33.40690416, -112.0119351 33.40691678)",transit,1,1,65,1900
10023947,45,10000387,10000406,0.385216209,"LINESTRING (-112.0119351 33.40691678, -112.00778670000001 33.40701267)",transit,1,1,65,1900
10023948,45,10000406,10000417,0.414686621,"LINESTRING (-112.00778670000001 33.40701267, -112.0033193 33.40703528)",transit,1,1,65,1900
10023949,45,10000417,10000428,0.402697837,"LINESTRING (-112.0033193 33.40703528, -111.99898259999999 33.40713449)",transit,1,1,65,1900
10023950,45,10000428,10000438,0.383936976,"LINESTRING (-111.99898259999999 33.40713449, -111.9948467 33.40717729)",transit,1,1,65,1900
10023951,45,10000438,10000245,0.219268397,"LINESTRING (-111.9948467 33.40717729, -111.9924845 33.40718457)",transit,1,1,65,1900
10023952,45,10000245,10000447,0.489876522,"LINESTRING (-111.9924845 33.40718457, -111.98720700000001 33.407198)",transit,1,1,65,1900
10023953,45,10000447,10000453,0.18501164,"LINESTRING (-111.98720700000001 33.407198, -111.98521409999998 33.40717101)",transit,1,1,65,1900
10023954,45,10000453,10000460,0.361216177,"LINESTRING (-111.98521409999998 33.40717101, -111.981323 33.40721423)",transit,1,1,65,1900
10023955,45,10000460,10000102,0.354417948,"LINESTRING (-111.981323 33.40721423, -111.97750490000001 33.40719044)",transit,1,1,65,1900
10023956,45,10000102,10000106,1.128854992,"LINESTRING (-111.97750490000001 33.40719044, -111.965345 33.407347800000004)",transit,1,1,65,1900
10023957,45,10000106,10000120,0.469044519,"LINESTRING (-111.965345 33.407347800000004, -111.960292 33.40732047)",transit,1,1,65,1900
10023958,45,10000120,10000108,0.206747845,"LINESTRING (-111.960292 33.40732047, -111.95806499999999 33.40728831)",transit,1,1,65,1900
10023959,45,10000108,10000114,0.328927797,"LINESTRING (-111.95806499999999 33.40728831, -111.95452140000002 33.40728866)",transit,1,1,65,1900
10023960,45,10000114,10000113,0.257213154,"LINESTRING (-111.95452140000002 33.40728866, -111.95175060000001 33.40726056)",transit,1,1,65,1900
10023961,45,10000113,10000122,0.401153643,"LINESTRING (-111.95175060000001 33.40726056, -111.9474289 33.40725812)",transit,1,1,65,1900
10023962,45,10000122,10000100,0.293258663,"LINESTRING (-111.9474289 33.40725812, -111.9442696 33.40724691)",transit,1,1,65,1900
10023963,45,10000100,10000719,0.47102163,"LINESTRING (-111.9442696 33.40724691, -111.9391956 33.40730025)",transit,1,1,65,1900
10023964,45,10000719,10006419,0.37908064,"LINESTRING (-111.9391956 33.40730025, -111.93511200000002 33.40734208)",transit,1,1,65,1900
10023965,45,10006419,10000806,0.435701344,"LINESTRING (-111.93511200000002 33.40734208, -111.9304182 33.40736698)",transit,1,1,65,1900
10023966,45,10000806,10000795,0.45074947,"LINESTRING (-111.9304182 33.40736698, -111.9255622 33.40737603)",transit,1,1,65,1900
